id	sex	population	region	dataset
HG03808	F	BEB	SAS	KGP
HG03809	M	BEB	SAS	KGP
HG03812	M	BEB	SAS	KGP
HG03814	F	BEB	SAS	KGP
HG03815	M	BEB	SAS	KGP
HG03816	F	BEB	SAS	KGP
HG03817	F	BEB	SAS	KGP
HG03821	M	BEB	SAS	KGP
HG03823	F	BEB	SAS	KGP
HG03824	M	BEB	SAS	KGP
HG03825	F	BEB	SAS	KGP
HG03826	F	BEB	SAS	KGP
HG03829	F	BEB	SAS	KGP
HG03830	M	BEB	SAS	KGP
HG03831	F	BEB	SAS	KGP
HG03832	F	BEB	SAS	KGP
HG03833	M	BEB	SAS	KGP
HG03834	F	BEB	SAS	KGP
HG03836	F	STU	SAS	KGP
HG03837	M	STU	SAS	KGP
HG03838	F	STU	SAS	KGP
HG03844	M	STU	SAS	KGP
HG03846	M	STU	SAS	KGP
HG03848	M	STU	SAS	KGP
HG03849	F	STU	SAS	KGP
HG03850	M	STU	SAS	KGP
HG03851	M	STU	SAS	KGP
HG03854	M	STU	SAS	KGP
HG03856	M	STU	SAS	KGP
HG03857	F	STU	SAS	KGP
HG03858	F	STU	SAS	KGP
HG03861	F	ITU	SAS	KGP
HG03862	F	ITU	SAS	KGP
HG03863	F	ITU	SAS	KGP
HG03864	M	ITU	SAS	KGP
HG03866	M	ITU	SAS	KGP
HG03867	M	ITU	SAS	KGP
HG03868	F	ITU	SAS	KGP
HG03869	M	ITU	SAS	KGP
HG03870	M	ITU	SAS	KGP
HG03871	M	ITU	SAS	KGP
HG03872	M	ITU	SAS	KGP
HG03873	F	ITU	SAS	KGP
HG03874	F	ITU	SAS	KGP
HG03875	M	ITU	SAS	KGP
HG03882	F	ITU	SAS	KGP
HG03884	F	STU	SAS	KGP
HG03885	M	STU	SAS	KGP
HG03886	F	STU	SAS	KGP
HG03887	M	STU	SAS	KGP
HG03888	F	STU	SAS	KGP
HG03890	M	STU	SAS	KGP
HG03894	F	STU	SAS	KGP
HG03895	F	STU	SAS	KGP
HG03896	M	STU	SAS	KGP
HG03897	F	STU	SAS	KGP
HG03898	F	STU	SAS	KGP
HG03899	M	STU	SAS	KGP
HG03900	M	STU	SAS	KGP
HG03902	M	BEB	SAS	KGP
HG03904	F	BEB	SAS	KGP
HG03905	M	BEB	SAS	KGP
HG03906	M	BEB	SAS	KGP
HG03907	F	BEB	SAS	KGP
HG03908	M	BEB	SAS	KGP
HG03909	M	BEB	SAS	KGP
HG03910	F	BEB	SAS	KGP
HG03911	M	BEB	SAS	KGP
HG03913	F	BEB	SAS	KGP
HG03914	M	BEB	SAS	KGP
HG03915	F	BEB	SAS	KGP
HG03916	F	BEB	SAS	KGP
HG03917	M	BEB	SAS	KGP
HG03919	F	BEB	SAS	KGP
HG03920	M	BEB	SAS	KGP
HG03922	F	BEB	SAS	KGP
HG03925	F	BEB	SAS	KGP
HG03926	M	BEB	SAS	KGP
HG03927	F	BEB	SAS	KGP
HG03928	F	BEB	SAS	KGP
HG03929	M	BEB	SAS	KGP
HG03930	F	BEB	SAS	KGP
HG03931	F	BEB	SAS	KGP
HG03934	F	BEB	SAS	KGP
HG03937	F	BEB	SAS	KGP
HG03940	F	BEB	SAS	KGP
HG03941	M	BEB	SAS	KGP
HG03942	M	BEB	SAS	KGP
HG03943	M	STU	SAS	KGP
HG03944	F	STU	SAS	KGP
HG03945	F	STU	SAS	KGP
HG03947	F	STU	SAS	KGP
