id	sex	population	region	dataset
NA20796	M	TSI	EUR	KGP
NA20797	F	TSI	EUR	KGP
NA20798	M	TSI	EUR	KGP
NA20799	F	TSI	EUR	KGP
NA20800	F	TSI	EUR	KGP
NA20801	M	TSI	EUR	KGP
NA20802	F	TSI	EUR	KGP
NA20803	M	TSI	EUR	KGP
NA20804	F	TSI	EUR	KGP
NA20805	M	TSI	EUR	KGP
NA20806	M	TSI	EUR	KGP
NA20807	F	TSI	EUR	KGP
NA20808	F	TSI	EUR	KGP
NA20809	M	TSI	EUR	KGP
NA20810	M	TSI	EUR	KGP
NA20811	M	TSI	EUR	KGP
NA20812	M	TSI	EUR	KGP
NA20813	F	TSI	EUR	KGP
NA20814	M	TSI	EUR	KGP
NA20815	M	TSI	EUR	KGP
NA20818	F	TSI	EUR	KGP
NA20819	F	TSI	EUR	KGP
NA20821	F	TSI	EUR	KGP
NA20822	F	TSI	EUR	KGP
NA20826	F	TSI	EUR	KGP
NA20827	M	TSI	EUR	KGP
NA20828	F	TSI	EUR	KGP
NA20832	F	TSI	EUR	KGP
NA20845	M	GIH	SAS	KGP
NA20846	M	GIH	SAS	KGP
NA20847	F	GIH	SAS	KGP
NA20849	F	GIH	SAS	KGP
NA20850	M	GIH	SAS	KGP
NA20851	F	GIH	SAS	KGP
NA20852	M	GIH	SAS	KGP
NA20853	F	GIH	SAS	KGP
NA20854	F	GIH	SAS	KGP
NA20856	F	GIH	SAS	KGP
NA20858	M	GIH	SAS	KGP
NA20859	F	GIH	SAS	KGP
NA20861	M	GIH	SAS	KGP
NA20862	F	GIH	SAS	KGP
NA20863	M	GIH	SAS	KGP
NA20864	M	GIH	SAS	KGP
NA20866	M	GIH	SAS	KGP
NA20867	M	GIH	SAS	KGP
NA20868	F	GIH	SAS	KGP
NA20869	F	GIH	SAS	KGP
NA20870	M	GIH	SAS	KGP
NA20872	F	GIH	SAS	KGP
NA20874	F	GIH	SAS	KGP
NA20875	F	GIH	SAS	KGP
NA20876	F	GIH	SAS	KGP
NA20877	F	GIH	SAS	KGP
NA20878	F	GIH	SAS	KGP
NA20881	F	GIH	SAS	KGP
NA20882	F	GIH	SAS	KGP
NA20884	M	GIH	SAS	KGP
NA20885	M	GIH	SAS	KGP
NA20886	F	GIH	SAS	KGP
NA20887	M	GIH	SAS	KGP
NA20888	F	GIH	SAS	KGP
NA20889	M	GIH	SAS	KGP
NA20890	M	GIH	SAS	KGP
NA20891	M	GIH	SAS	KGP
NA20892	F	GIH	SAS	KGP
NA20894	F	GIH	SAS	KGP
NA20895	M	GIH	SAS	KGP
NA20896	F	GIH	SAS	KGP
NA20897	M	GIH	SAS	KGP
NA20899	F	GIH	SAS	KGP
NA20900	F	GIH	SAS	KGP
NA20901	M	GIH	SAS	KGP
NA20902	F	GIH	SAS	KGP
NA20903	M	GIH	SAS	KGP
NA20904	M	GIH	SAS	KGP
NA20905	M	GIH	SAS	KGP
NA20906	F	GIH	SAS	KGP
NA20908	F	GIH	SAS	KGP
NA20910	F	GIH	SAS	KGP
NA20911	M	GIH	SAS	KGP
NA21086	F	GIH	SAS	KGP
NA21087	M	GIH	SAS	KGP
NA21088	F	GIH	SAS	KGP
NA21089	F	GIH	SAS	KGP
NA21090	M	GIH	SAS	KGP
NA21091	M	GIH	SAS	KGP
NA21092	M	GIH	SAS	KGP
NA21093	M	GIH	SAS	KGP
NA21094	M	GIH	SAS	KGP
NA21095	M	GIH	SAS	KGP
NA21097	F	GIH	SAS	KGP
NA21098	M	GIH	SAS	KGP
NA21099	M	GIH	SAS	KGP
NA21100	M	GIH	SAS	KGP
NA21101	F	GIH	SAS	KGP
NA21102	F	GIH	SAS	KGP
NA21103	F	GIH	SAS	KGP
NA21104	M	GIH	SAS	KGP
NA21105	M	GIH	SAS	KGP
NA21106	F	GIH	SAS	KGP
NA21107	M	GIH	SAS	KGP
NA21108	F	GIH	SAS	KGP
NA21109	M	GIH	SAS	KGP
NA21110	F	GIH	SAS	KGP
NA21111	M	GIH	SAS	KGP
NA21112	M	GIH	SAS	KGP
NA21113	M	GIH	SAS	KGP
NA21114	M	GIH	SAS	KGP
NA21115	M	GIH	SAS	KGP
NA21116	M	GIH	SAS	KGP
NA21117	M	GIH	SAS	KGP
NA21118	M	GIH	SAS	KGP
NA21119	M	GIH	SAS	KGP
NA21120	F	GIH	SAS	KGP
NA21122	F	GIH	SAS	KGP
NA21123	M	GIH	SAS	KGP
NA21124	M	GIH	SAS	KGP
NA21125	F	GIH	SAS	KGP
NA21126	M	GIH	SAS	KGP
NA21127	M	GIH	SAS	KGP
NA21128	M	GIH	SAS	KGP
NA21129	M	GIH	SAS	KGP
NA21130	M	GIH	SAS	KGP
NA21133	M	GIH	SAS	KGP
NA21135	M	GIH	SAS	KGP
NA21137	F	GIH	SAS	KGP
NA21141	F	GIH	SAS	KGP
NA21142	F	GIH	SAS	KGP
NA21143	F	GIH	SAS	KGP
NA21144	F	GIH	SAS	KGP
